Quantitative (1-GRE),Gender,Inst 1 Name
159,Male,University of San Francisco
162,Female,"BITS Pilani, Pilani Campus"
168,Male,IIT Madras
170,Male,Univ Texas Austin*
170,Male,Indian Institute Of Technology
167,Male,UNIVERSITY OF PUNE (SPPU)
168,Male,SRM University
156,Male,University of Alexandria
167,Male,Kerala University
170,Female,IIT Bombay
170,Female,VJTI
159,Male,Univ Georgia Athens*
158,Male,Georgetown University
166,Male,Nirma University
167,Female,Istanbul Technical University
160,Female,National Tech. Univ. of Athens
166,Male,National Institute of Tech
163,Female,School - India
166,Male,Western Washington  University
156,Female,Pitzer College
168,Female,Univ Calif Los Angeles
168,Male,Indian Institute of Technology
155,Female,North Car State Univ Raleigh
170,Male,Indian Inst of Tech
170,Male,Harvey Mudd College
164,Female,Clemson University
,Female,Univ of Northern Iowa
158,Male,Claremont Mckenna College
,Male,Univ Calif Berkeley
164,Male,United States Coast Guard Acad
170,Female,Univ Calif Berkeley
170,Male,UCLA Honors
164,Male,Univ Calif Berkeley
163,Male,Univ Illinois Urbana*
170,Male,Jadavpur University
170,Male,PSG College of Technology
164,Male,Occidental College
162,Female,School - India
166,Male,National Tsing Hua Univ
164,Female,VIT University
170,Male,Connecticut College
160,Female,University of Minnesota
169,Male,Univ Nevada Las Vegas
166,Female,Univ Hong Kong
,Female,Univ Nebraska Lincoln*
,Female,National Chengchi University
170,Male,School - China
170,Female,Beijing Lang&Culture Universit
,Male,Univ Waterloo
170,Male,"Wuhan University, Wuchang Dist"
164,Female,School - China
168,Female,Univ Calif Los Angeles
164,Male,George Washington University
170,Female,National Chiao Tung University
161,Male,Universidad Torcuato Di Tella
163,Male,University of Cambridge
163,Male,Univ Calif Los Angeles
170,Female,China Univ. of Political Scien
161,Female,Andhra University
,Female,National Economics University
170,Male,Indian Institute Of Technology
164,Male,Univ Michigan Ann Arbor*
160,Female,University of Delhi
160,Male,UC San Diego
165,Male,Univ Calif Los Angeles
,Female,ChinaPharmaceutica University
168,Female,Bates College
164,Female,Vishwakarma Institute of Tech
,Male,Brigham Young Univ Utah
170,Male,Sun Yat-sen University
168,Female,Nankai University
170,Female,"IET, DAVV"
167,Female,Univ Calif Los Angeles
163,Female,China Jiliang University
,Female,Ohio State Univ Columbus
170,Male,Univ Notre Dame
170,Female,"Institute Of Technology, Nirma"
170,Male,Purdue Univ West Lafayette*
170,Female,Nanjing University
170,Male,Guru Nanal Dev University
163,Male,Queen's University
170,Male,School - India
,Male,PEC University of Technology
170,Male,Zhejiang University
154,Male,Univ North Florida
166,Male,RV College of Engineering
166,Male,School - India
163,Male,Full Sail Real World Educ
165,Male,Univ Virginia
170,Male,Indian Institute of Technology
158,Male,Univ Vermont
,Female,University of Texas at Austin
163,Female,Georgia Inst Technology
156,Female,TecnolÃ³gico de Monterrey CCM
166,Female,Southeast University
170,Female,Shanghai Univ Finance Economic
168,Male,Communication Univ of China
167,Male,Indian Institute of Technology
,Male,Carnegie Mellon University
162,Female,Arizona State Univ Tempe
167,Male,NIT Kurukshetra
168,Female,Panjab University
169,Male,IIT Roorkee
164,Female,UC Berkeley
170,Male,Jilin University
168,Male,Indian Institute Of Technology
,Female,Xiamen University
168,Male,Davidson College
170,Male,Univ Calif Berkeley
163,Female,NMIMS
170,Male,Oxford University
165,Male,University of Cal. Berkeley
170,Male,National Tsing Hua University
,Male,Tsinghua University
,Female,Alliant Intl Univ San Diego
161,Female,Boston College
170,Female,Wuhan University
163,Female,Washington Lee University
164,Female,Wellesley College
163,Female,SRM University
157,Female,Sonoma State University
170,Female,IIT (ISM) DHANBAD
170,Female,Univ Southern California
165,Female,Cochin Univ of Science and Tec
,Female,Punjab Technical University
170,Male,Indian Institute of Technology
162,Female,Univ Calif Los Angeles
167,Male,Birla Institute of Technology
170,Male,University of Delhi
,Male,South China Normal University
163,Male,Texas Tech University
161,Male,Calif St Univ Long Beach
169,Male,Birla Inst. of Tech. & Sci.
161,Male,Islamic Azad Univ
162,Male,Univ Calif Irvine
170,Female,Univ Illinois Urbana*
,Male,University of Pune (V.I.T.)
167,Male,Indian Institute of Technology
,Female,Peking University
162,Male,Univ Calif Los Angeles
170,Male,New York University
,Male,Georgia Inst Technology
162,Female,Univ Calif Berkeley
170,Male,U of Wisconsin-Madison
164,Female,School - China
167,Female,Univ Minnesota Minneapolis*
170,Female,St Marys College Ca
168,Male,Univ Calif Berkeley
166,Male,Univ Illinois Urbana*
170,Male,Beihang University
168,Female,Univ Calif Los Angeles
,Male,Xiamen University
170,Female,School - China
168,Male,SUN YAT-SEN UNIVERSITY
169,Female,Univ Calif Los Angeles
170,Male,Cambridge University
170,Male,National Taiwan Univerity
,Female,Zhejiang University
170,Female,School - India
,Female,East China Normal Univ
,Male,School - China
,Female,Beijing Univ of Posts & Tel
166,Female,Brandeis University
170,Male,South China University of Tech
170,Female,China Agricultural University
,Female,Univ Texas Austin*
165,Male,Purdue Univ West Lafayette*
,Male,Imperial College London
161,Female,Univ Southern California
167,Female,Michigan State University
163,Female,Loyola University New Orleans
167,Male,Purdue Univ West Lafayette*
168,Female,Univ Mass Amherst*
160,Female,Univ Toronto
170,Female,Peking University
164,Male,Hunan University
167,Female,Shaanxi Normal Univ
,Male,National Chengchi Univ
,Male,Amrita Vishwa Vidyapeetham
168,Male,University of Moratuwa
158,Female,WroclawUniversity ofTechnology
,Male,Birla Institute of Technology
161,Female,Siena College
170,Male,Indian Institute of Technology
161,Female,JNTU-Hyderabad
170,Male,Jadavpur University
170,Male,IIT Madras
170,Male,Columbia Univ Columbia College
161,Female,Virginia Polytech Inst St U
161,Male,Indian Institute of Kharagpur
,Female,Guizhou University
169,Female,Hunan Normal University
166,Female,University of Mumbai
166,Female,VIT University
164,Male,University of Pune
166,Male,Universidad de las AmÃ©ricas Pu
167,Male,Univ Calif Irvine
168,Female,Huaqiao University
168,Male,School - India
168,Female,Indian Institute of Technology
,Female,Delhi Technological University
165,Male,NIT Karnataka
162,Female,Mount Holyoke College
163,Female,Zhejiang Normal University
,Male,UC Santa Barbara
170,Male,Duke University
167,Male,BITS-Pilani Hyderabad Campus
161,Female,Univ Chicago
,Male,Bogazici University
168,Male,Indian Institute of Technology
168,Female,University of Petroleum(East )
162,Male,Univ Calif Berkeley
163,Female,West Bengal University of Tech
170,Male,BITS Pilani
164,Female,Anna University
168,Female,Pandit Deendayal Petroleum Uni
170,Male,IIT Bombay
170,Male,"UCE, Osmania University"
,Male,Southwestern U. of Fin. & Eco.
160,Male,St Lawrence University
170,Female,Suny Stony Brook
157,Male,Univ Calif Berkeley
157,Male,Loyola Marymount University
167,Male,National Inst of Tech Raipur
164,Female,Thapar University
168,Male,Sardar Vallabhbhai NIT
161,Male,Stetson University
,Female,Indiana Univ Bloomington*
170,Female,Chongqing University
,Female,Wuhan University
170,Male,Nanyang Tech University
163,Female,Coll William And Mary
161,Female,Visvesvaraya Tech Univ
170,Male,Amrita Vishwa Vidyapeetham
170,Male,Delhi Technological University
160,Female,Anna University - Engineering
,Female,Otterbein College
162,Male,Universitat de ValÃ¨ncia
165,Female,Calif St Univ Channel Islands
162,Female,Northwestern University*
159,Male,Babson College
163,Male,Connecticut College
162,Female,Sikkim Manipal University
167,Male,Nanyang Tech University
,Male,School - Turkey
162,Male,Univ Calif Santa Cruz
167,Male,IIT Kharagpur
158,Female,Univ San Francisco
168,Female,University of Pune
159,Male,Clarkson University
166,Male,University of Rajasthan
168,Female,Birla Institute of Technology
158,Male,Univ San Francisco
170,Female,Tsinghua University
167,Female,Univ Calif Los Angeles
162,Female,Univ Washington Seattle
170,Female,the Hong Kong Polytechnic Univ
167,Female,Fudan University
168,Male,School in India
,Female,InSTEC
170,Male,Indian Institute of Technology
170,Male,Delhi Technological University
168,Male,IIT(ISM) DHANBAD
170,Male,Santa Clara University
170,Female,Nanjing University
170,Female,School - Hong Kong
162,Female,NIT HAMIRPUR
